pdb_id,cutoff,from_pdb_id
1HHW,2002-01-02,1HG9
1HHX,2002-01-02,1HG9
1HJI,1999-04-20,1QFQ
1HLX,1995-09-15,1HLX
1HMH,1995-12-07,1HMH
1HNW,2000-09-25,1FJG
1HNX,2000-09-25,1FJG
1HNZ,2000-09-25,1FJG
1HQ1,2000-02-28,1DUL
1HR0,2000-09-25,1FJG
1HR2,2001-04-12,1HR2
1HS1,2003-09-02,1HS1
1HS2,2001-08-29,1HS2
1HS3,2003-09-02,1HS3
1HS4,2003-09-02,1HS4
1HS8,2003-09-02,1HS8
1HVU,1999-01-13,1HVU
1HWQ,2001-05-16,1HWQ
1HYS,2001-03-26,1HYS
1I3X,2001-04-04,1I3X
1I3Y,2001-04-04,1I3X
1I46,2001-04-21,1I46
1I4B,2001-04-21,1I4B
1I4C,2001-04-21,1I4B
1I5L,1999-10-04,486D
1I6H,2001-04-23,1I6H
1I6U,2001-08-03,1I6U
1I7J,1997-06-24,310D
1I94,2000-09-25,1FJG
1I95,2000-09-25,1FJG
1I96,2000-09-25,1FJG
1I97,2000-09-25,1FJG
1I9F,1997-03-12,1ETF
1I9K,2001-05-30,1I9K
1I9V,1978-04-12,4TNA
1I9X,2001-09-05,1I9X
1IBK,2000-09-25,1FJG
1IBL,2000-09-25,1FJG
1IBM,2000-09-25,1FJG
1IDV,2001-10-05,1IDV
1IE1,2001-01-03,1FJE
1IE2,2001-01-03,1FJE
1IK1,2001-07-18,1IK1
1IK5,2001-11-09,1FUF
1IKD,1997-04-01,1IKD
1IL2,1987-11-06,2TRA
1IVS,2000-12-06,1GAX
1J1U,2003-06-03,1J1U
1J2B,2003-05-27,1J2B
1J4Y,2002-07-17,1J4Y
1J5A,2001-10-26,1JZX
1J5E,2000-09-25,1FJG
1J6S,2003-08-05,1J6S
1J7T,2002-05-18,1J7T
1J8G,1994-01-31,1RAU
1J9H,2001-10-26,1J9H
1JB8,2003-07-01,1JB8
1JBR,2001-10-26,1JBR
1JBS,2001-10-26,1JBS
1JBT,2001-10-26,1JBR
1JGO,1978-04-12,4TNA
1JGP,1978-04-12,4TNA
1JGQ,1978-04-12,4TNA
1JID,1999-12-02,1D4R
1JJ2,2000-08-14,1FFK
1JO7,2001-09-19,1JO7
1JOX,2002-05-01,1JOX
1JP0,2002-05-01,1JOX
1JTJ,2002-12-11,1JTJ
1JTW,2001-12-12,1JTW
1JU1,2002-08-23,1JU1
1JU7,2002-03-20,1JU7
1JUR,2002-01-16,1JUR
1JWC,2002-03-20,1JU7
1JZC,2003-10-07,1JZC
1JZV,2003-11-11,1JZV
1JZX,2001-10-26,1JZX
1JZY,2001-10-26,1JZX
1JZZ,2001-10-26,1JZX
1K01,2001-10-26,1JZX
1K1G,2001-11-07,1K1G
1K2G,2002-05-08,1K2G
1K4A,2001-12-19,1K4A
1K4B,2001-12-19,1K4B
1K5I,2001-10-17,1K5I
1K6G,2001-12-19,1K6G
1K6H,2001-12-19,1K6H
1K73,2000-08-14,1FFK
1K8A,2000-08-14,1FFK
1K8S,2001-11-14,1K8S
1K8W,2001-12-31,1K8W
1K9M,2000-08-14,1FFK
1K9W,2001-11-30,1K9W
1KAJ,1996-07-11,1KAJ
1KC8,2000-08-14,1FFK
1KD1,2000-08-14,1FFK
1KD3,2003-03-04,1KD3
1KD4,2003-03-04,1KD3
1KD5,2003-03-04,1KD3
1KFO,2001-12-07,1KFO
1KH6,2002-04-26,1KH6
1KIS,1997-10-15,1KIS
1KKA,2002-07-17,1J4Y
1KKS,2002-03-13,1KKS
1KNZ,2002-01-17,1KNZ
1KOC,1996-08-17,1KOC
1KOD,1996-11-08,1KOD
1KOG,2002-04-26,1KOG
1KOS,1999-10-22,1KOS
1KP7,2002-04-10,1KP7
1KPD,1997-04-01,1KPD
1KPY,2002-01-11,1KPY
1KPZ,2002-01-11,1KPY
1KQ2,2002-07-05,1KQ2
1KQS,2000-08-14,1FFK
1KUQ,2000-04-02,1DK1
1KXK,2002-03-22,1KXK
1L1C,2002-03-27,1L1C
1L1W,2002-05-22,1L1W
1L2X,1998-12-03,437D
1L3D,1998-12-03,437D
1L3Z,2003-02-25,1L3Z
1L8V,2002-08-23,1L8V
1L9A,2002-06-28,1L9A
1LAJ,2002-11-27,1LAJ
1LC4,2003-04-08,1LC4
1LC6,2002-05-29,1LC6
1LDZ,1998-11-25,1LDZ
1LMV,2002-11-27,1LMV
1LNG,2002-06-07,1LNG
1LNT,2003-06-03,1LNT
1LPW,2002-11-27,1LMV
1LS2,1978-04-12,4TNA
1LU3,2002-06-26,1LU3
1LUU,2003-09-09,1LUU
1LUX,2003-09-09,1LUU
1LVJ,2002-12-11,1LVJ
1M1K,2000-08-14,1FFK
1M5K,2002-08-02,1M5K
1M5L,2002-09-18,1M5L
1M5O,2002-08-02,1M5K
1M5P,2002-08-02,1M5K
1M5V,2002-08-02,1M5K
1M82,2003-06-03,1M82
1M8V,2000-10-30,1DDL
1M8W,2002-09-25,1M8W
1M8X,2002-09-25,1M8W
1M8Y,2002-09-25,1M8Y
1M90,2000-08-14,1FFK
1MDG,2003-08-05,1J6S
1ME1,1995-02-07,255D
1MFJ,2002-11-06,1MFJ
1MFK,2002-11-13,1MFK
1MFQ,2002-06-28,1L9A
1MFY,2002-09-18,1MFY
1MHK,2002-09-06,1MHK
1MIS,1997-07-07,1MIS
1MJ1,1978-04-12,4TNA
1MJI,2003-01-21,1MJI
1ML5,1978-04-12,4TNA
1MME,1996-02-06,1MME
1MMS,1999-08-31,1QD7
1MNB,1996-12-23,1BIV
1MNX,2003-01-14,1MNX
1MSW,2002-11-15,1MSW
1MSY,2003-02-25,1MSY
1MT4,2003-01-14,1MT4
1MUV,2002-12-18,1MUV
1MV1,2002-12-18,1MUV
1MV2,2002-12-18,1MUV
1MV6,2002-12-18,1MUV
1MVR,1999-10-04,486D
1MWG,1997-03-12,1MWG
1MWL,2002-05-18,1J7T
1MY9,2003-10-07,1MY9
1MZP,2003-01-21,1MZP
1N1H,2002-12-25,1N1H
1N32,2000-09-25,1FJG
1N33,2000-09-25,1FJG
1N34,2000-09-25,1FJG
1N35,2002-12-25,1N35
1N36,2000-09-25,1FJG
1N38,2002-12-25,1N1H
1N53,2003-04-29,1N53
1N66,2003-08-19,1N66
1N77,2001-09-01,1G59
1N78,2001-09-01,1G59
1N8R,2000-08-14,1FFK
1N8X,2003-04-08,1N8X
1NA2,2003-01-21,1NA2
1NAO,1997-01-27,1NAO
1NB7,2001-05-04,1IBL
1NBK,2003-12-03,1NBK
1NBR,1998-02-04,1AQO
1NBS,2003-02-18,1NBS
1NC0,2003-02-25,1NC0
1NEM,1999-08-31,1NEM
1NJI,2000-08-14,1FFK
1NJM,2001-10-26,1JZX
1NJN,2001-10-26,1JZX
1NJO,2001-10-26,1JZX
1NJP,2001-10-26,1JZX
1NKW,2001-10-26,1JZX
1NLC,1999-12-02,462D
1NTA,2003-05-13,1NTA
1NTB,2003-05-13,1NTA
1NTQ,2003-06-10,1NTQ
1NTS,2003-06-10,1NTQ
1NTT,2003-06-10,1NTQ
1NUJ,1999-03-01,429D
1NUV,1999-03-01,429D
1NWX,2001-10-26,1JZX
1NWY,2001-10-26,1JZX
1NXR,1997-07-07,1NXR
1NYB,2003-06-24,1NYB
1NYI,1996-02-06,1MME
1NZ1,2002-05-29,1LC6
1O0B,1992-02-24,1GSG
1O0C,1992-02-24,1GSG
1O15,1997-12-24,1EHT
1O3Z,1999-12-02,462D
1O9M,2002-05-18,1J7T
1OKF,2002-01-02,1HG9
1OLN,1999-08-31,1QD7
1OND,2001-10-26,1JZX
1OO7,1998-04-22,1DRR
1OOA,2003-07-22,1OOA
1OQ0,2003-05-13,1OQ0
1OSU,1996-04-04,1OSU
1OSW,2003-05-20,1OSW
1OW9,2003-05-20,1OW9
1P5M,2003-11-04,1P5M
1P5N,2003-11-04,1P5N
1P5O,2003-11-04,1P5O
1P5P,2003-11-04,1P5O
1P6V,2003-08-12,1P6V
1P79,2003-11-04,1P79
1P9X,2001-10-26,1JZX
1PBL,1997-06-24,310D
1PBM,1997-06-24,310D
1PBR,1997-09-17,1PBR
1PGL,2003-11-18,1PGL
1PJG,2003-07-01,1JB8
1PJO,2003-07-01,1JB8
1PJY,2003-08-05,1PJY
1PN7,2003-07-15,1PN7
1PN8,2003-07-15,1PN8
1PVO,2003-07-22,1PVO
1Q29,1996-02-06,1MME
1Q2R,2003-09-09,1Q2R
1Q2S,2003-09-09,1Q2R
1Q75,2003-12-23,1Q75
1Q7Y,2000-08-14,1FFK
1Q81,2000-08-14,1FFK
1Q82,2000-08-14,1FFK
1Q86,2000-08-14,1FFK
1Q8N,2000-09-04,1F1T
1Q93,2003-11-25,1Q93
1Q96,2003-11-25,1Q96
1Q9A,1999-08-31,1QD7
1QA6,1995-01-26,1SCL
1QBP,1999-11-26,1QBP
1QC0,1999-11-11,1QC0
1QC8,1999-08-31,1QC8
1QCU,1999-11-11,1QCU
1QD3,2000-07-12,1QD3
1QD7,1999-08-31,1QD7
1QES,1997-06-05,1QES
1QET,1997-06-05,1QET
1QF6,1999-05-06,1QF6
1QFQ,1999-04-20,1QFQ
1QLN,2000-02-04,1QLN
1QRS,1992-02-24,1GSG
1QRT,1992-02-24,1GSG
1QRU,1992-02-24,1GSG
1QTQ,1992-02-24,1GSG
1QU2,1999-08-31,1QU2
1QU3,1999-08-31,1QU2
1QVF,2000-08-14,1FFK
1QVG,2000-08-14,1FFK
1QWA,2003-11-25,1QWA
1QWB,2003-11-25,1QWB
1QZA,1978-04-12,4TNA
1QZB,1978-04-12,4TNA
1QZC,2003-04-01,1MVR
1QZW,2003-11-18,1QZW
1R2P,2004-02-03,1R2P
1R2W,1999-08-31,1QD7
1R2X,1999-08-31,1QD7
1R3E,1999-10-22,1KOS
1R3O,2001-09-14,439D
1R3X,1998-05-20,1R3X
1R4H,2004-10-19,1R4H
1R7W,2004-05-25,1R7W
1R7Z,2004-05-25,1R7Z
1R9F,2004-01-27,1R9F
1R9S,2004-03-02,1SFO
1R9T,2004-03-02,1SFO
1RAU,1994-01-31,1RAU
1RAW,1997-01-27,1RAW
1RC7,1999-12-02,1DI2
1RFR,2004-03-23,1RFR
1RGO,2004-03-02,1RGO
1RHT,1995-06-03,1RHT
1RKJ,2003-11-25,1QWA
1RLG,2004-06-01,1RLG
1RMN,1995-01-26,1RMN
1RMV,1989-01-09,2TMV
1RNA,1991-04-15,1RNA
1RNG,1995-12-07,1RNG
1RNK,1995-02-27,1RNK
1ROQ,2004-05-18,1ROQ
1RPU,2004-01-13,1RPU
1RRD,1998-04-22,1DRR
1RRR,1998-04-22,1DRR
1RXA,1996-08-26,1RXB
1RXB,1996-08-26,1RXB
1RY1,2000-11-08,1E8O
1S03,2004-05-25,1S03
1S0V,2002-11-20,1H38
1S2F,2004-08-31,1S2F
1S34,2004-08-31,1S2F
1S72,2000-08-14,1FFK
1S76,2002-11-15,1MSW
1S77,2004-03-23,1S77
1S9L,2004-06-29,1S9L
1S9S,2004-04-06,1S9S
1SA9,1997-10-15,1YFV
1SCL,1995-01-26,1SCL
1SDR,1995-02-27,1SDR
1SDS,2004-05-18,1SDS
1SER,1994-04-30,1SER
1SFO,2004-03-02,1SFO
1SI3,2004-05-25,1SI3
1SJ3,2004-05-18,1SJ3
1SJ4,2004-05-18,1SJ3
1SJF,2004-05-18,1SJ3
1SLO,1996-12-07,1SLO
1SLP,1996-12-07,1SLO
1SM1,2001-10-26,1JZX
1SY4,2002-05-29,1LC6
1SYZ,2002-05-29,1LC6
1SZ1,1978-04-12,4TNA
1SZY,2004-04-20,1SZY
1T0D,2004-06-15,1T0D
1T0E,2004-06-15,1T0E
1T0K,2004-07-20,1T0K
1T1M,2004-06-15,1T1M
1T1O,2003-04-01,1MVR
1T28,2004-08-10,1T28
1T2R,2004-06-01,1T2R
1T4L,2004-06-01,1T4L
1T4X,1997-06-24,310D
1TBK,2005-03-01,1TBK
1TFN,1995-06-03,1RHT
1TFW,2004-08-10,1TFW
1TFY,2004-08-10,1TFW
1TJZ,2004-09-28,1TJZ
1TLR,1997-11-12,1TLR
1TN1,1978-04-12,4TNA
1TN2,1978-04-12,4TNA
1TOB,1997-06-16,1TOB
1TRA,1978-04-12,4TNA
1TRJ,2004-09-28,1TRJ
1TTT,1978-04-12,4TNA
1TUT,2004-12-28,1TUT
1TXS,2004-10-05,1TXS
1U0B,1998-12-07,1B23
1U1Y,2004-12-07,1U1Y
1U2A,1998-03-04,1U2A
1U3K,1998-06-17,1A9L
1U63,2005-04-12,1U63
1U6B,2004-08-10,1U6B
1U6P,2004-04-06,1S9S
1U9S,2004-10-26,1U9S
1ULL,1997-08-20,1ULL
1UN6,2003-11-20,1UN6
1UON,2002-12-25,1N35
1URN,1996-03-08,1URN
1UTD,2004-01-15,1UTD
1UTS,1996-11-08,1ARJ
1UUD,1996-11-08,1ARJ
1UUI,1996-11-08,1ARJ
1UUU,1998-02-25,1UUU
1UVI,2004-02-19,1UVI
1UVJ,2004-02-19,1UVJ
1UVL,2004-02-19,1UVM
1UVM,2004-02-19,1UVM
1UVN,2004-02-19,1UVI
1VBX,2004-05-18,1SJ3
1VBY,2004-05-18,1SJ3
1VBZ,2004-05-18,1SJ3
1VC0,2004-05-18,1SJ3
1VC5,1999-02-16,1DRZ
1VC6,2004-05-18,1SJ3
1VFG,2004-08-10,1VFG
1VOP,1997-12-24,1VOP
1VQ4,2000-08-14,1FFK
1VQ5,2000-08-14,1FFK
1VQ6,2000-08-14,1FFK
1VQ7,2000-08-14,1FFK
1VQ8,2000-08-14,1FFK
1VQ9,2000-08-14,1FFK
1VQK,2000-08-14,1FFK
1VQL,2000-08-14,1FFK
1VQM,2000-08-14,1FFK
1VQN,2000-08-14,1FFK
1VQO,2000-08-14,1FFK
1VQP,2000-08-14,1FFK
1VTM,1989-01-09,2TMV
1VTQ,1987-11-06,2TRA
1VVJ,2000-09-25,1FJG
1VY4,2000-09-25,1FJG
1VY5,2000-09-25,1FJG
1VY6,2000-09-25,1FJG
1VY7,2000-09-25,1FJG
1W2B,2000-08-14,1FFK
1WKS,2004-06-22,1WKS
1WMQ,2005-03-15,1WMQ
1WNE,2004-08-31,1WNE
1WPU,2005-08-30,1WPU
1WRQ,2005-03-15,1WMQ
1WSU,2005-01-25,1WSU
1WTS,1999-01-27,1WTS
1WTT,1999-01-27,1WTS
1WVD,1999-12-02,462D
1WWD,2005-03-22,1WWD
1WWE,2005-03-22,1WWE
1WWF,2005-04-05,1WWF
1WWG,2005-04-05,1WWG
1WZ2,2005-09-06,1WZ2
1X18,2005-05-17,1X18
1X1L,2005-05-17,1X1L
1X8W,2004-11-09,1X8W
1X9C,2005-11-01,2D2K
1X9K,2005-11-01,2D2K
1XBP,2001-10-26,1JZX
1XHP,2004-11-23,1XHP
1XJR,2005-02-01,1XJR
1XMO,2000-09-25,1FJG
1XMQ,2000-09-25,1FJG
1XNQ,2000-09-25,1FJG
1XNR,2000-09-25,1FJG
1XOK,2005-01-04,1XOK
1XP7,2005-10-18,1XP7
1XPE,2002-08-23,1JU1
1XPF,1999-12-02,462D
1XPO,2004-11-02,1XPR
1XPR,2004-11-02,1XPR
1XPU,2004-11-02,1XPR
1XSG,2004-12-28,1XSG
1XSH,2004-12-28,1XSH
1XST,2004-12-28,1XSG
1XSU,2004-12-28,1XSH
1XV0,2004-11-09,1XV0
1XV6,1999-05-12,468D
1XWP,2005-02-15,1XWP
1XWU,2005-02-15,1XWU
1Y0Q,2004-12-21,1Y0Q
1Y1W,2005-01-04,1Y1W
1Y1Y,2004-12-28,1Y1Y
1Y26,2004-12-28,1Y26
1Y27,2004-12-28,1Y27
1Y39,2005-03-22,1Y39
1Y3O,2005-10-18,1XP7
1Y3S,2005-10-18,1XP7
1Y69,2001-10-26,1JZX
1Y6S,1999-12-02,462D
1Y6T,1999-12-02,462D
1Y73,1999-12-02,462D
1Y77,2005-01-04,1Y1W
1Y90,1999-12-02,462D
1Y95,1999-12-02,462D
1Y99,1999-12-02,462D
1YFG,1997-09-03,1YFG
1YFV,1997-10-15,1YFV
1YG3,2005-12-13,1YG3
1YG4,2005-12-13,1YG3
1YHQ,2005-04-26,1YHQ
1YI2,2005-04-26,1YHQ
1YIJ,2005-04-26,1YHQ
1YIT,2005-04-26,1YHQ
1YJ9,2005-04-26,1YHQ
1YJN,2005-04-26,1YHQ
1YJW,2005-04-26,1YHQ
1YKQ,2005-02-22,1YKQ
1YKV,2005-02-22,1YKQ
1YLG,2005-02-01,1YLG
1YLS,2005-02-22,1YKQ
1YMO,2005-03-15,1YMO
1YN1,2005-03-01,1TBK
1YN2,2005-03-01,1TBK
1YNC,2005-02-01,1YLG
1YNE,2005-02-08,1YNE
1YNG,2005-02-08,1YNE
1YRJ,2003-04-08,1LC4
1YSH,2005-07-05,1YSH
1YSV,2005-07-19,1YSV
1YTU,2005-04-05,1YTU
1YTY,2006-01-17,1YTY
1YVP,2005-06-07,1YVP
1YXP,2005-10-18,1XP7
1YY0,1999-01-13,405D
1YYK,1999-05-12,468D
1YYO,1999-05-12,468D
1YYW,2005-11-22,1YYW
1YZ9,2005-11-22,1YZ9
1YZD,2005-10-18,1YZD
1Z2J,2005-06-14,1Z2J
1Z30,2005-04-26,1Z30
1Z31,2005-03-22,1Z31
1Z43,2002-06-07,1LNG
1Z58,2001-10-26,1JZX
1Z79,1999-01-13,405D
1Z7F,1999-01-13,405D
1ZBH,2006-09-26,1ZBH
1ZBI,2005-07-12,1ZBI
1ZBL,2005-07-12,1ZBI
1ZBN,1996-12-23,1BIV
1ZC5,2005-06-07,1ZC5
1ZC8,2003-04-01,1MVR
1ZCI,2005-10-18,1XP7
1ZDH,1997-04-21,1ZDH
1ZDI,1997-04-21,1ZDI
1ZDJ,1998-07-08,1ZDJ
1ZDK,1997-04-21,1ZDH
1ZE2,2005-04-26,1ZE2
1ZEV,2005-10-25,1ZEV
1ZFT,2005-11-01,2D2K
1ZFV,2005-11-01,2D2K
1ZFX,2005-11-01,2D2K
1ZH5,2006-01-17,1YTY
1ZHO,2006-05-09,1ZHO
1ZIF,1997-03-12,1ZIF
1ZIG,1997-03-12,1ZIG
1ZIH,1997-03-12,1ZIH
1ZJW,2005-06-07,1ZJW
1ZL3,2001-12-31,1K8W
1ZN0,2005-06-14,1ZN0
1ZN1,2005-06-14,1ZN0
1ZO1,1978-04-12,4TNA
1ZO3,1978-04-12,4TNA
1ZSE,2006-03-22,2BS1
1ZX7,2005-09-20,1ZX7
1ZZ5,2005-09-20,1ZX7
1ZZN,2004-08-10,1U6B
205D,1995-09-15,205D
219D,1995-10-15,219D
255D,1995-02-07,255D
259D,1996-08-26,1RXB
280D,1995-12-07,1RNG
283D,1996-09-30,283D
28SP,1999-04-12,28SP
28SR,1999-04-12,28SP
299D,1996-02-06,1MME
2A04,2005-09-20,1ZX7
2A0P,1996-08-26,1RXB
2A1R,2002-11-27,1LAJ
2A2E,2005-09-06,2A2E
2A43,2005-09-27,2A43
2A64,2005-09-20,2A64
2A8V,1999-04-26,2A8V
2A9L,1998-06-17,1A9L
2A9X,1996-12-23,1BIV
2AAR,2001-10-26,1JZX
2AB4,2005-04-26,1ZE2
2AD9,2005-10-04,2AD9
2ADB,2005-10-04,2AD9
2ADC,2005-10-04,2AD9
2ADT,2005-07-26,2ADT
2AGN,2000-11-17,1F84
2AHT,2006-10-17,2AHT
2AKE,2006-07-11,2AKE
2ANN,2006-10-24,2ANN
2ANR,2006-10-24,2ANR
2AO5,2006-03-28,2AO5
2AP0,2006-09-05,2AP0
2AP5,2006-09-05,2AP0
2ASB,2005-10-11,2ASB
2ATW,2005-10-11,2ASB
2AU4,2006-03-28,2AU4
2AWE,2006-02-07,2AWE
2AWQ,2002-07-17,1J4Y
2AZ0,2005-10-11,2AZ0
2AZ2,2005-10-11,2AZ0
2AZX,2006-07-11,2AKE
2B2D,2006-03-22,2BS1
2B2E,1997-04-21,1ZDI
2B2G,1997-04-21,1ZDI
2B3J,2006-01-24,2B3J
2B57,2006-05-23,2B57
2B63,2005-12-06,2B63
2B6G,2006-01-24,2B6G
2B7G,2006-01-24,2B6G
2B8R,2002-08-23,1JU1
2B8S,1999-12-02,462D
2BBV,1994-08-31,2BBV
2BCY,2005-11-01,2D2K
2BCZ,2005-11-01,2D2K
2BE0,2002-05-18,1J7T
2BEE,2002-05-18,1J7T
2BGG,2005-03-31,2BGG
2BH2,2005-03-30,2BH2
2BJ2,1999-02-02,1BJ2
2BJ6,2005-03-09,2BJ6
2BNY,1997-04-21,1ZDI
2BQ5,1997-04-21,1ZDI
2BS0,2006-03-22,2BS0
2BS1,2006-03-22,2BS1
2BTE,2005-09-15,2BTE
2BU1,1997-04-21,1ZDI
2BX2,2005-10-14,2BX2
2BYT,2005-09-15,2BTE
2C06,2006-02-08,2C06
2C0B,2005-10-14,2C0B
2C4Q,1997-04-21,1ZDI
2C4R,2005-10-25,2C4R
2C4Y,1997-04-21,1ZDI
2C4Z,1997-04-21,1ZDI
2C50,2006-01-05,2C50
2C51,2006-01-05,2C51
2CD1,2000-10-09,1F6X
2CD3,2000-10-09,1F6Z
2CD5,2000-10-09,1F6X
2CD6,2000-10-09,1F6Z
2CJK,2006-06-28,2CJK
2CKY,2006-05-08,2CKY
2CSX,2005-09-20,2CSX
2CT8,2005-09-20,2CSX
